id,page,section,field,current_text,new_text,notes
ABOUT_TEAM_2_ALT,about,team_grid,alt,"Paige portrait from a Dad Skeleton photoshoot",,
ABOUT_TEAM_3_NAME,about,team_grid,name,Vince,,
ABOUT_TEAM_3_ROLE,about,team_grid,role,Performer,,
ABOUT_TEAM_3_ALT,about,team_grid,alt,"Vince featured portrait with stage-style lighting",,
ABOUT_TEAM_4_NAME,about,team_grid,name,Ensemble,,
ABOUT_TEAM_4_ROLE,about,team_grid,role,Rotating Player,,
ABOUT_TEAM_4_ALT,about,team_grid,alt,"Rotating players ensemble portrait for the troupe",,
ABOUT_TEAM_5_NAME,about,team_grid,name,Kim Knife,,
ABOUT_TEAM_5_ROLE,about,team_grid,role,Character,,
ABOUT_TEAM_5_ALT,about,team_grid,alt,"Kim Knife character portrait from a comedy sketch setup",,
ABOUT_TEAM_6_NAME,about,team_grid,name,Cast,,
ABOUT_TEAM_6_ROLE,about,team_grid,role,Live Show,,
ABOUT_TEAM_6_ALT,about,team_grid,alt,"Cast photo during a live Dad Skeleton performance",,
ABOUT_TEAM_7_NAME,about,team_grid,name,Duo,,
ABOUT_TEAM_7_ROLE,about,team_grid,role,Sketch Team,,
ABOUT_TEAM_7_ALT,about,team_grid,alt,"Paige and Jacob duo photo used for sketch promotion",,
ABOUT_TEAM_8_NAME,about,team_grid,name,The Troupe,,
ABOUT_TEAM_8_ROLE,about,team_grid,role,Dad Skeleton,,
ABOUT_TEAM_8_ALT,about,team_grid,alt,"Dad Skeleton troupe portrait featuring core performers",,
ABOUT_BOTTOM_IMG_ALT,about,images,alt,"Panoramic live-performance photo of Dad Skeleton on stage",,
VIDEOS_H1,videos,hero,h1,Videos,,
VIDEOS_SUBHEAD,videos,hero,subhead,"Watch our latest sketches, live performances, and behind-the-scenes content.",,
VIDEOS_CHANNEL_CTA,videos,hero,link_label,Subscribe on YouTube →,,
VIDEOS_CARD_1_TITLE,videos,cards,title,Coming Soon,,
VIDEOS_CARD_2_TITLE,videos,cards,title,Coming Soon,,
VIDEOS_CARD_3_TITLE,videos,cards,title,Coming Soon,,
VIDEOS_CARD_4_TITLE,videos,cards,title,Coming Soon,,
VIDEOS_PLACEHOLDER_LABEL,videos,cards,placeholder_text,Video Coming Soon,,
GALLERY_H1,gallery,hero,h1,Gallery,,
GALLERY_SUBHEAD,gallery,hero,subhead,"Production stills, sketch photos, and moments from our shows.",,
GALLERY_IMG_1_ALT,gallery,images,alt,"Paige and Jacob portrait",,
GALLERY_IMG_2_ALT,gallery,images,alt,"Kim Knife portrait",,
GALLERY_IMG_3_ALT,gallery,images,alt,"Jacob portrait",,
GALLERY_IMG_4_ALT,gallery,images,alt,"Vince featured shot",,
GALLERY_IMG_5_ALT,gallery,images,alt,"Paige and Jacob duo shot",,
GALLERY_IMG_6_ALT,gallery,images,alt,"Paige portrait",,
GALLERY_IMG_7_ALT,gallery,images,alt,"Jacob black and white portrait",,
GALLERY_IMG_8_ALT,gallery,images,alt,"Rotating players ensemble",,
GALLERY_IMG_9_ALT,gallery,images,alt,"Paige and Jacob stage photo",,
GALLERY_IMG_10_ALT,gallery,images,alt,"Paige and Jacob candid",,
GALLERY_IMG_11_ALT,gallery,images,alt,"Vince close-up photo",,
GALLERY_IMG_12_ALT,gallery,images,alt,"Paige and Jacob portrait 2",,
CALENDAR_H1,calendar,hero,h1,Upcoming Shows,,
CALENDAR_SUBHEAD,calendar,hero,subhead,"Catch us live! Here's where you can see Dad Skeleton perform.",,
CALENDAR_HERO_IMG_ALT,calendar,images,alt,"Hero image of Dad Skeleton performing live at a packed show",,
CALENDAR_SHOW_1_TITLE,calendar,show_1,title,The Skeleton Wars,,
CALENDAR_SHOW_1_DATE,calendar,show_1,date,"February 14, 2025",,Update as needed
CALENDAR_SHOW_1_TIME,calendar,show_1,time,8:00 PM,,
CALENDAR_SHOW_1_VENUE,calendar,show_1,venue,The Black Box Theater,,
CALENDAR_SHOW_1_DESC,calendar,show_1,description,"Our flagship production returns with more bones, more chaos, and more laughs.",,
CALENDAR_SHOW_2_TITLE,calendar,show_2,title,Improv Night,,
CALENDAR_SHOW_2_DATE,calendar,show_2,date,"February 21, 2025",,
CALENDAR_SHOW_2_TIME,calendar,show_2,time,9:00 PM,,
CALENDAR_SHOW_2_VENUE,calendar,show_2,venue,Comedy Central Stage,,
CALENDAR_SHOW_2_DESC,calendar,show_2,description,"Anything can happen when the audience calls the shots.",,
CALENDAR_SHOW_3_TITLE,calendar,show_3,title,Sketch Showcase,,
CALENDAR_SHOW_3_DATE,calendar,show_3,date,"March 1, 2025",,
CALENDAR_SHOW_3_TIME,calendar,show_3,time,7:30 PM,,
CALENDAR_SHOW_3_VENUE,calendar,show_3,venue,The Laugh Factory,,
CALENDAR_SHOW_3_DESC,calendar,show_3,description,"A curated collection of our best original sketches. Bones rattle at every punchline.",,
CALENDAR_SHOW_4_TITLE,calendar,show_4,title,The Skeleton Wars II,,
CALENDAR_SHOW_4_DATE,calendar,show_4,date,"March 15, 2025",,
CALENDAR_SHOW_4_TIME,calendar,show_4,time,8:00 PM,,
CALENDAR_SHOW_4_VENUE,calendar,show_4,venue,The Black Box Theater,,
CALENDAR_SHOW_4_DESC,calendar,show_4,description,"The skeletons are back. This time, it's personal.",,
CALENDAR_SIDEBAR_SHOW_ALT,calendar,images,alt,"Dad Skeleton performers during a live sketch moment on stage",,
CALENDAR_SIDEBAR_VENUE_ALT,calendar,images,alt,"Wide venue shot of a Dad Skeleton show with stage lighting",,
CALENDAR_SIDEBAR_AUDIENCE_ALT,calendar,images,alt,"Audience-view perspective of a Dad Skeleton comedy performance",,
CALENDAR_PAST_HEADING,calendar,past_shows,heading,Past Shows,,
CALENDAR_PAST_1_ALT,calendar,past_shows,alt,"Cast members in motion during a past sketch performance",,
CALENDAR_PAST_2_ALT,calendar,past_shows,alt,"Dad Skeleton performers mid-scene during an earlier show",,
CALENDAR_PAST_3_ALT,calendar,past_shows,alt,"Close stage moment from a previous Dad Skeleton set",,
CALENDAR_PAST_4_ALT,calendar,past_shows,alt,"Crowd-facing stage shot from a past comedy night",,
TOOLS_H1,tools,hero,h1,Comedy Tools,,
TOOLS_SUBHEAD,tools,hero,subhead,"Interactive generators to spark creativity for your improv and sketch writing.",,
TOOLS_CARD_SCENE_TITLE,tools,generators,title,Scene Generator,,
TOOLS_CARD_SCENE_DESC,tools,generators,description,"Generate random scene elements for improv or sketch writing.",,
TOOLS_CARD_SCENE_BUTTON,tools,generators,button_label,Generate Scene,,
TOOLS_CARD_SCENE_LABEL_LOCATION,tools,generators,label,Location:,,
TOOLS_CARD_SCENE_LABEL_RELATIONSHIP,tools,generators,label,Relationship:,,
TOOLS_CARD_SCENE_LABEL_CONFLICT,tools,generators,label,Conflict:,,
TOOLS_CARD_NAME_TITLE,tools,generators,title,Character Name Generator,,
TOOLS_CARD_NAME_DESC,tools,generators,description,"Create absurd character names for your sketches.",,
TOOLS_CARD_NAME_BUTTON,tools,generators,button_label,Generate Name,,
TOOLS_CARD_PROMPT_TITLE,tools,generators,title,Prompt Spinner,,
TOOLS_CARD_PROMPT_DESC,tools,generators,description,"Get random improv prompts and suggestions.",,
TOOLS_CARD_PROMPT_BUTTON,tools,generators,button_label,Spin Prompt,,
TOOLS_CARD_WORD_TITLE,tools,generators,title,Word Association,,
TOOLS_CARD_WORD_DESC,tools,generators,description,"Quick-fire word game - say the first thing that comes to mind!",,
TOOLS_CARD_WORD_BUTTON,tools,generators,button_label,New Word,,
TOOLS_WRITING_SECTION_H2,tools,writing_tools,heading,Writing Tools,,
TOOLS_WRITING_SECTION_SUBHEAD,tools,writing_tools,subhead,"A complete writer's toolkit for brainstorming, structuring, drafting, and formatting your creative work.",,
TOOLS_WRITING_1_NAME,tools,writing_tools,name,Joterie,,
TOOLS_WRITING_1_TAGLINE,tools,writing_tools,tagline,Think Fast,,
TOOLS_WRITING_1_DESC,tools,writing_tools,description,"Rapid brainstorming with timed sprints. Capture raw ideas before they escape, then curate the best ones.",,
TOOLS_WRITING_1_FEATURES,tools,writing_tools,features,"Timed Sprints; Curation; Archives",,Semicolon-delimited
TOOLS_WRITING_2_NAME,tools,writing_tools,name,Synax,,
TOOLS_WRITING_2_TAGLINE,tools,writing_tools,tagline,Creative Engine,,
TOOLS_WRITING_2_DESC,tools,writing_tools,description,"AI-powered prompt generation. Discover unexpected word combinations to spark new creative directions.",,
TOOLS_WRITING_2_FEATURES,tools,writing_tools,features,"Random Prompts; Rhyme Finder; Context Mode",,
TOOLS_WRITING_3_NAME,tools,writing_tools,name,BeatHive,,
TOOLS_WRITING_3_TAGLINE,tools,writing_tools,tagline,Story Architect,,
TOOLS_WRITING_3_DESC,tools,writing_tools,description,"Map your narrative on an infinite hexagonal canvas. Visualize story beats and their connections.",,
TOOLS_WRITING_3_FEATURES,tools,writing_tools,features,"Hex Canvas; Beat Types; Cloud Sync",,
TOOLS_WRITING_4_NAME,tools,writing_tools,name,Wribbon,,
TOOLS_WRITING_4_TAGLINE,tools,writing_tools,tagline,Flow State Writing,,
TOOLS_WRITING_4_DESC,tools,writing_tools,description,"Minimalist, distraction-free drafting. Zen mode hides the UI while you write, keeping focus on the words.",,
TOOLS_WRITING_4_FEATURES,tools,writing_tools,features,"Zen Mode; Word Goals; Timer",,
TOOLS_WRITING_5_NAME,tools,writing_tools,name,Courius,,
TOOLS_WRITING_5_TAGLINE,tools,writing_tools,tagline,Screenwriter,,
TOOLS_WRITING_5_DESC,tools,writing_tools,description,"Professional screenplay formatting. Industry-standard elements with automatic styling and FDX export.",,
TOOLS_WRITING_5_FEATURES,tools,writing_tools,features,"FDX Export; Auto Format; Title Pages",,
TOOLS_WRITING_6_NAME,tools,writing_tools,name,FlowState,,
TOOLS_WRITING_6_TAGLINE,tools,writing_tools,tagline,Writing Game,,
TOOLS_WRITING_6_DESC,tools,writing_tools,description,"Gamified writing sessions with flow mechanics. Build combos, earn sparks, and maintain your writing momentum.",,
TOOLS_WRITING_6_FEATURES,tools,writing_tools,features,"Flow Meter; Combos; Sparks",,
TOOLS_WRITING_7_NAME,tools,writing_tools,name,WitherNaught,,
TOOLS_WRITING_7_TAGLINE,tools,writing_tools,tagline,Cultivate Your Mind,,
TOOLS_WRITING_7_DESC,tools,writing_tools,description,"A gamified writing garden where your words bloom into a living ecosystem. Keep writing or watch your garden freeze.",,
TOOLS_WRITING_7_FEATURES,tools,writing_tools,features,"Frost System; Zone Progression; Ambient Audio",,
GET_INVOLVED_H1,get-involved,hero,h1,Get Involved,,
GET_INVOLVED_SUBHEAD,get-involved,hero,subhead,"Join the Dad Skeleton community. Submit your work, take a class, or hang out with us.",,
GET_INVOLVED_HERO_ALT,get-involved,images,alt,"Dad Skeleton community banner featuring performers and rotating players",,
GET_INVOLVED_SUBMIT_HEADING,get-involved,submit,heading,"Submit to The Skeleton Wars",,
GET_INVOLVED_SUBMIT_BODY,get-involved,submit,body,"Got a sketch, monologue, or comedic piece? Submit it for consideration in our flagship show. We're always looking for fresh bones.",,
GET_INVOLVED_SUBMIT_BUTTON,get-involved,submit,button_label,Submit via Google Form,,
GET_INVOLVED_CLASS_HEADING,get-involved,classes,heading,Take a Class,,
GET_INVOLVED_CLASS_BODY,get-involved,classes,body,"Learn improv, sketch writing, and character work from the Dad Skeleton team.",,
GET_INVOLVED_CLASS_1_NAME,get-involved,classes,class_name,Improv 101,,
GET_INVOLVED_CLASS_1_LEVEL,get-involved,classes,class_level,Beginner,,
GET_INVOLVED_CLASS_2_NAME,get-involved,classes,class_name,Improv 201,,
GET_INVOLVED_CLASS_2_LEVEL,get-involved,classes,class_level,Intermediate,,
GET_INVOLVED_CLASS_3_NAME,get-involved,classes,class_name,Sketch Writing,,
GET_INVOLVED_CLASS_3_LEVEL,get-involved,classes,class_level,All Levels,,
GET_INVOLVED_CLASSES_BUTTON,get-involved,classes,button_label,Inquire About Classes,,
GET_INVOLVED_DISCORD_HEADING,get-involved,discord,heading,Join Our Discord,,
GET_INVOLVED_DISCORD_BODY,get-involved,discord,body,"Hang out with fellow comedy nerds, get show announcements first, and participate in community events.",,
GET_INVOLVED_DISCORD_BUTTON,get-involved,discord,button_label,Join Discord,,
GET_INVOLVED_DISCORD_COUNT,get-involved,discord,count_label,"1,200+ members",,Can be updated anytime
GET_INVOLVED_SIDEBAR_ALT,get-involved,images,alt,"Portrait image for the classes and community sidebar section",,
GET_INVOLVED_GRID_1_ALT,get-involved,images,alt,"Paige in character during a community-focused performance session",,
GET_INVOLVED_GRID_2_ALT,get-involved,images,alt,"Jacob portrait used for classes and participation callouts",,
GET_INVOLVED_GRID_3_ALT,get-involved,images,alt,"Vince promo portrait tied to troupe workshops and events",,
GET_INVOLVED_GRID_4_ALT,get-involved,images,alt,"Rotating players image representing the wider Dad Skeleton community",,
BONE_ZONE_LOADING,bone-zone,state,loading_label,Loading...,,
BONE_ZONE_H1_PREFIX,bone-zone,hero,h1_prefix,Welcome to the,,
BONE_ZONE_H1_HIGHLIGHT,bone-zone,hero,h1_highlight,Bone Zone,,
BONE_ZONE_SUBHEAD,bone-zone,hero,subhead,"You found all 10 skeletons. You're officially one of us.",,
BONE_ZONE_SECTION_VIDEO_HEADING,bone-zone,secret_video,heading,"🎬 Secret Bloopers Reel",,
BONE_ZONE_SECTION_VIDEO_BODY,bone-zone,secret_video,body,"Exclusive content only for true skeleton hunters.",,
BONE_ZONE_SECTION_VIDEO_PLACEHOLDER,bone-zone,secret_video,placeholder,"[Secret Video Embed Here]",,
BONE_ZONE_SECTION_WALLPAPER_HEADING,bone-zone,wallpapers,heading,"🖼️ Exclusive Wallpapers",,
BONE_ZONE_SECTION_WALLPAPER_BODY,bone-zone,wallpapers,body,"Download Dad Skeleton art for your devices.",,
BONE_ZONE_WALLPAPER_DEVICE_1,bone-zone,wallpapers,device_label,Desktop,,
BONE_ZONE_WALLPAPER_DEVICE_2,bone-zone,wallpapers,device_label,Mobile,,
BONE_ZONE_WALLPAPER_DEVICE_3,bone-zone,wallpapers,device_label,Tablet,,
BONE_ZONE_CERT_HEADING,bone-zone,certificate,heading,Certificate of Bone-ification,,
BONE_ZONE_CERT_BODY,bone-zone,certificate,body,"This certifies that you have successfully located all 10 hidden skeletons across the Dad Skeleton website.",,
BONE_ZONE_CERT_LINE,bone-zone,certificate,line,"You are now officially a Skeleton.",,
BONE_ZONE_SHARE_HEADING,bone-zone,share,heading,Share Your Achievement,,
BONE_ZONE_SHARE_X_BUTTON,bone-zone,share,button_label,Share on X,,
BONE_ZONE_SHARE_COPY_BUTTON,bone-zone,share,button_label,Copy to Clipboard,,
BONE_ZONE_SHARE_TEXT_X,bone-zone,share,share_text,"I found all 10 hidden skeletons on the Dad Skeleton website! 💀🦴 Can you find them all?",,
BONE_ZONE_SHARE_TEXT_COPY,bone-zone,share,copy_text,"I found all 10 hidden skeletons on the Dad Skeleton website! 💀🦴",,
BONE_ZONE_ALERT_COPIED,bone-zone,share,alert_text,Copied to clipboard!,,
BONE_ZONE_PLAY_AGAIN_PROMPT,bone-zone,play_again,prompt,"Want to hunt again? Reset your progress.",,
BONE_ZONE_PLAY_AGAIN_HOME,bone-zone,play_again,button_label,Back to Home,,
BONE_ZONE_PLAY_AGAIN_RESET,bone-zone,play_again,button_label,Reset & Hunt Again,,
BONE_ZONE_PLAY_AGAIN_CONFIRM,bone-zone,play_again,confirm_text,Reset all progress and start the hunt over?,,
NOT_FOUND_404_HEADING,404,hero,heading,404,,
NOT_FOUND_LINE_1,404,hero,line,"This page has been buried...",,
NOT_FOUND_LINE_2,404,hero,line,The bones you seek are not here.,,
NOT_FOUND_BUTTON,404,hero,button_label,Go Home,,
NOT_FOUND_HINT,404,hero,hint,"Psst... there might be something hidden here...",,
TOOLS_SCENE_LOCATIONS,tools,generator_data,options,"A haunted DMV; The world's saddest birthday party; A submarine with a leak; An escape room for babies; A funeral for a pet rock; A grocery store at 3am; A time traveler's support group; An elevator stuck between floors; A yoga class in a prison; A silent disco on a train",,Semicolon-delimited list
TOOLS_RELATIONSHIPS,tools,generator_data,options,"Divorced clowns; Rival magicians; Estranged father and robot son; Ex-best friends at a reunion; Boss and employee who are secretly twins; Ghost and reluctant roommate; Former superhero and their nemesis; Two people who peaked in high school; Long-lost pen pals; Competitive neighbors",,
TOOLS_CONFLICTS,tools,generator_data,options,"One of them has a secret they can't reveal; They both want the last piece of cake; They're trapped together and need to escape; One owes the other a huge favor; They're competing for the same promotion; One is hiding a supernatural ability; They remember the past completely differently; Neither wants to admit they were wrong; One is leaving forever in 5 minutes; They both think the other is an imposter",,
TOOLS_FIRST_NAMES,tools,generator_data,options,"Bartholomew; Danger; Cinnamon; Professor; Grandpa; Tiny; Sir; Doctor; Captain; Chad; Moonbeam; Justice",,
TOOLS_LAST_NAMES,tools,generator_data,options,"Thunderpants; Skellington; von Fluffernutter; McScreamface; Bonkowitz; Spaghettiarms; Mysterio Jr.; O'Problemo; Wafflestein; Doomwhisper; Bananagrabber; Cactushead",,
TOOLS_IMPROV_PROMPTS,tools,generator_data,options,"The scene takes place entirely in slow motion; Everyone speaks in rhymes; Emotions are the opposite of what they should be; Someone has to incorporate a famous movie quote; The scene must include an unexpected dance break; Characters can only speak in questions; There's an invisible third character everyone reacts to; The stakes keep escalating every 30 seconds; Someone discovers a mysterious object; One character knows something the others don't; The scene is a musical now; Everyone is allergic to a common word",,
TOOLS_WORD_STARTERS,tools,generator_data,options,"Banana; Thunder; Whisper; Castle; Pickle; Dragon; Pancake; Mystery; Tornado; Penguin; Lasagna; Spaceship",,
